121,210/1709/6,1,2017-09-05 11:18:49.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,6,1709
122,210/1709/7,1,2017-09-05 11:20:10.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,7,1709
123,210/1709/8,1,2017-09-05 11:21:16.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,8,1709
124,210/1709/9,1,2017-09-05 11:23:39.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,9,1709
125,210/1709/10,1,2017-09-05 11:25:39.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,10,1709
126,200/1709/25,1,2017-09-05 11:26:18.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,200,25,1709
127,210/1709/11,1,2017-09-05 11:26:43.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,11,1709
128,210/1709/12,1,2017-09-05 11:27:39.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,12,1709
129,200/1709/26,1,2017-09-05 11:27:48.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,200,26,1709
130,210/1709/13,1,2017-09-05 11:27:54.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,13,1709
131,110/1709/1,1,2017-09-05 13:02:50.327,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,110,1,1709
132,115/1709/1,1,2017-09-05 13:02:50.357,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,115,1,1709
133,110/1709/1,1,2017-09-05 13:03:30.560,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,110,1,1709
134,115/1709/1,1,2017-09-05 13:03:30.583,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,115,1,1709
135,210/1709/14,1,2017-09-05 15:29:38.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,14,1709
136,210/1709/15,1,2017-09-05 15:30:54.000,2017-09-05,NULL,NULL,NULL,NULL,NULL,NULL,210,15,1709
137,200/1709/27,1,2017-09-06 07:45:54.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,27,1709
138,200/1709/28,3,2017-09-06 08:10:59.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,28,1709
139,210/1709/16,1,2017-09-06 08:26:00.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,210,16,1709
140,200/1709/29,3,2017-09-06 08:30:23.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,29,1709
141,200/1709/30,1,2017-09-06 08:34:08.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,30,1709
142,210/1709/17,3,2017-09-06 08:42:03.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,210,17,1709
143,210/1709/18,1,2017-09-06 09:03:28.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,210,18,1709
144,200/1709/31,1,2017-09-06 10:05:45.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,31,1709
145,215/1709/3,1,2017-09-06 10:06:39.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,215,3,1709
146,200/1709/32,1,2017-09-06 10:07:44.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,32,1709
147,200/1709/33,1,2017-09-06 10:07:53.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,33,1709
148,210/1709/19,1,2017-09-06 10:08:11.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,210,19,1709
149,215/1709/4,3,2017-09-06 11:33:35.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,215,4,1709
150,200/1709/34,3,2017-09-06 13:04:23.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,34,1709
151,200/1709/35,1,2017-09-06 13:50:32.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,35,1709
152,210/1709/20,1,2017-09-06 14:26:18.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,210,20,1709
153,200/1709/36,1,2017-09-06 14:26:44.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,36,1709
154,210/1709/21,1,2017-09-06 14:26:49.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,210,21,1709
155,100/1709/2,1,2017-09-06 14:37:27.223,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,100,2,1709
156,200/1709/37,1,2017-09-06 14:49:34.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,37,1709
157,200/1709/38,1,2017-09-06 14:50:45.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,38,1709
158,200/1709/39,1,2017-09-06 14:51:02.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,39,1709
159,200/1709/40,1,2017-09-06 14:51:49.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,40,1709
160,200/1709/41,1,2017-09-06 14:52:14.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,41,1709
161,100/1709/3,1,2017-09-06 14:53:06.577,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,100,3,1709
162,200/1709/42,1,2017-09-06 14:55:51.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,42,1709
163,200/1709/43,1,2017-09-06 15:00:25.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,43,1709
164,200/1709/44,1,2017-09-06 15:15:43.000,2017-09-06,NULL,NULL,NULL,NULL,NULL,NULL,200,44,1709
