SysID	ItemNo	PartNo	PartName	IDCust	Image	IDProject	PackingType	PartTypeID	StdPack	FGLocation	QtyPerCar	SupplierID	CreateBy	IsActive	IsDelete	NameType	INSERT INTO BOM1 (SysID, ItemNo, PartNo, PartName, IDCust, Image, IDProject, PackingType, PartTypeID, StdPack, FGLocation, QtyPerCar, SupplierID, CreateBy, IsActive, IsDelete, NameType) VALUES 
SAI1700292	66	B148-87402	BRKT FR INNER SEAT TRACK LWR RR LH   (B121900)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700292','66','B148-87402','BRKT FR INNER SEAT TRACK LWR RR LH   (B121900)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700293	67	A347-87402	BRKT RR SEAT LINK LH (B121100)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700293','67','A347-87402','BRKT RR SEAT LINK LH (B121100)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700294	68	A361-97503-C	BRACKET FR SEAT SET NO.1 (D01202830)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700294','68','A361-97503-C','BRACKET FR SEAT SET NO.1 (D01202830)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700295	69	A121-87413	BRACKET FR SEAT CUSHION	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700295','69','A121-87413','BRACKET FR SEAT CUSHION','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700296	70	B514-87602	PLATE RECLINING UPR ARM LH	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700296','70','B514-87602','PLATE RECLINING UPR ARM LH','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700297	71	A163-97505-B	BRACKET FR SEAT BACK SUPPORT (D01201820)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700297','71','A163-97505-B','BRACKET FR SEAT BACK SUPPORT (D01201820)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700298	72	B521-97508	ARM RECLINING ADJ LWR RH (D01203800)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700298','72','B521-97508','ARM RECLINING ADJ LWR RH (D01203800)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700299	73	A243-97529	BRACKET RR SEAT LEG (SGS)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700299','73','A243-97529','BRACKET RR SEAT LEG (SGS)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700300	74	A321-97504-A	HINGE SEAT MALE (D01202310)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700300','74','A321-97504-A','HINGE SEAT MALE (D01202310)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700301	75	A397-97511	BRACKET RR SEAT LEG SUPPORT	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700301','75','A397-97511','BRACKET RR SEAT LEG SUPPORT','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700302	76	B248-97502	GUIDE SEAT TRACK CONTROL LEVER	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700302','76','B248-97502','GUIDE SEAT TRACK CONTROL LEVER','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700303	77	A153-97503 (RO)	REINF. FR SEAT BACK FRAME RH (D01201000)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700303','77','A153-97503 (RO)','REINF. FR SEAT BACK FRAME RH (D01201000)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700304	78	A301-87605	HINGE S/A RR SEAT CUSHION	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700304','78','A301-87605','HINGE S/A RR SEAT CUSHION','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700305	79	A338-87403	BRACKET RR SEAT CUSHION LEG FR	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700305','79','A338-87403','BRACKET RR SEAT CUSHION LEG FR','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700306	80	A161-87601	BRACKET FR SEAT BACK RH	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700306','80','A161-87601','BRACKET FR SEAT BACK RH','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700307	81	A153-97505 (LI)	REINF. FR SEAT BACK FRAME RH (D01205300)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700307','81','A153-97505 (LI)','REINF. FR SEAT BACK FRAME RH (D01205300)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700308	82	A419-97501-A	PLATE SEAT BELT ANCHOR (D01203210)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700308','82','A419-97501-A','PLATE SEAT BELT ANCHOR (D01203210)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700309	83	B456-97501	BRACKET SEAT FRAME SET LH (D01203500)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700309','83','B456-97501','BRACKET SEAT FRAME SET LH (D01203500)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700310	84	B521-97507	ARM RECLINING ADJ LWR RH (D01203700)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700310','84','B521-97507','ARM RECLINING ADJ LWR RH (D01203700)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700311	85	A229-87401	FRAME RR SEAT CUSH CTR	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700311','85','A229-87401','FRAME RR SEAT CUSH CTR','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700312	86	A419-97502	PLATE SEAT BELT ANCHOR (D01203300)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700312','86','A419-97502','PLATE SEAT BELT ANCHOR (D01203300)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700313	87	A253-87404	REINF. RR SEAT BACK RH (F01200100)	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700313','87','A253-87404','REINF. RR SEAT BACK RH (F01200100)','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
SAI1700314	88	A337-97512	PLATE RR SEAT LEG	39	NULL	4		FG1	0		0	0	67	1	0	0	('SAI1700314','88','A337-97512','PLATE RR SEAT LEG','39',NULL,'4','','FG1','0','','0','0','67','1','0',0),
