SAI1700207-2,0,0,0,SAI1700207,7601218100-R,CORE PLATE,3,RM1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1049,,0,NULL
SAI1700341-1,0,1,0,SAI1700341,A122-87606,BRACKET, FR SEAT CUSH INNER,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1184,,0,NULL
SAI1700342-1,0,1,0,SAI1700342,B751-97504,BRACKET SPRING SUPPORT (D01203900),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1185,,0,NULL
SAI1700343-1,0,1,0,SAI1700343,A163-97504,BRKT FR SEAT BACK SUPPORT ( D1201700 ),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1186,,0,NULL
SAI1700344-1,0,1,0,SAI1700344,A334-97503,BRACKET RR SEAT CUSH LINK LH,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1187,,0,NULL
SAI1700345-1,0,1,0,SAI1700345,A254-87406,REINF. RR SEAT BACK LH (F01200200),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1188,,0,NULL
SAI1700346-1,0,1,0,SAI1700346,A347-97502,BRACKET RR SEAT LINK LH,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1189,,0,NULL
SAI1700347-1,0,1,0,SAI1700347,A164-97501-C,BKT FR SEAT BACK SUPPORT LH (D01205230),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1190,,0,NULL
SAI1700348-1,0,1,0,SAI1700348,A218-97511-C,REINF. RR SEAT CUSH SIDE RH (D01201930),2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1191,,0,NULL
SAI1700349-1,0,1,0,SAI1700349,A339-97519,BRACKET RR SEAT CUSH LEG RR RH,2,PC1,0,0,,0,0,0,0,0,0,NULL,0,NULL,,0,1,0,,,1,1,0,NULL,NULL,0,NULL,NULL,1192,,0,NULL
