176,1010,BIG PRESS AIDA 400 TON,B3-3 PLANT A
177,1010,BIG PRESS YODOGAWA 350 TON,B4-1 PLANT A
178,1010,BIG PRESS FUKUI 200 TON,B4-2 PLANT A
179,1010,BIG PRESS AIDA 200 TON,B4-3 PLANT A
180,1010,BIG PRESS AIDA 200 TON,B4-4 PLANT A
181,1010,S.COMP.01 SULLAIR,COMP.ROOM PLANTA
182,1010,S.COMP. 02 SULLAIR,COMP.ROOM PLANTA
183,1010,S.COMP.03 SULLAIR,COMP.ROOM PLANT A
184,1010,S.COMP. 04 HITACHI,COMP.ROOM PLANT A
185,1010,S.COMP.05 SULLAIR,COMP.ROOM PLANT D
186,1010,S.COMP.06 SULLAIR,COMP.ROOM PLANT D
187,1010,S.COMP.07 INGERSOLL R.,COMP.ROOM PLANT D
188,1010,S.COMP.08 HITACHI,COMP.ROOM PLANT D
189,1010,S.COMP.09 HITACHI,COMP.ROOM PLANT D
190,1010,S.COMP.10 HITACHI,COMP.ROOM PLANT D
191,1010,A.DRYER 01 SULLAIR,COMP.ROOM PLANT A
192,1010,A.DRYER 02 HITACHI,COMP.ROOM PLANT A
193,1010,A.DRYER 03 HANKISON,COMP.ROOM PLANT D
194,1010,A.DRYER 04 HANKISON,COMP.ROOM PLANT D
195,1010,A.DRYER 05 SMC,FRONT RAIL PLANT A
196,1010,A.DRYER 06 SMC,SIM YL-8 pLANT A
197,1010,A.DRYER 07 HANKISON,B3 PLANT A
198,1010,A.DRYER 08 HANKISON,COMP.ROOM PLANT D
199,1010,A.DRYER 09 SMC,PM7 PLANT A
200,1010,A.DRYER 10 SMC,PROGRESIVE PLANT B
201,1010,A.DRYER 11 SMC,MACHINING PLANT B
202,1010,A.DRYER 12 ORION,COMP.ROOM PLANT D
203,1010,A.DRYER 13 ORION,COMP.ROOM PLANT D
204,1010,A.DRYER 14 ORION,COMP.ROOM PLANT D
205,1010,GENSET 1 MITSUBISHI,GENSET ROOM PLANT D
206,1010,GENSET 2 MITSUBISHI,GENSET ROOM PLANT D
207,1010,CRANE 01 CAP.5 TON,B4 PLANT A
208,1010,CRANE 02 CAP. 5 TON,TOOL SERVICE PLANT B
209,1010,CRANE 03 CAP.10 TON,CORRIDOR 1 / PLANT AB
210,1010,CRANE 04 CAP. 5 TON,CORRIDOR 1 / PLANT AB
211,1010,CRANE 05 CAP. 10 TON,B3 PLANT A
212,1010,CRANE 06 CAP. 10 TON,B4 PLANT A
213,1010,CRANE 07 CAP. 5 TON,CORRIDOR 2 / PLANT BC
214,1010,CRANE 08 CAP. 15 & 5 TON,PLANT C
215,1010,CRANE 09 CAP.20 TON,A1 PLANT D
216,1010,CRANE 10 CAP. 20 & 15 TON,A2 PLANT D
217,1010,CRANE 11 CAP.20 & 10 TON,A3 PLANT E
218,1010,CRANE 12 CAP.20 TON,A4 PLANT E
219,1010,CRANE 13 CAP 15 TON,B1 & B2 PLANT C
220,1010,HOIST 01 NITCHI CAP. 2 TON,CORRIDOR 1 PLANT AB
221,1010,HOIST 02 NITCHI CAP. 2 TON,PROGRESIVE PLANT B
222,1010,HOIST 03 NITCHI CAP. 2 TON,DI PLANT B
223,1010,HOIST 04 NITCHI CAP. 2 TON,D2 PLANT B
224,1010,HOIST 05 NITCHI CAP. 2 TON,D5 PLANT B
225,1010,HOIST 06 NITCHI CAP. 2 TON,D6 PLANT B
226,1010,HOIST 07 NITCHI CAP. 1 TON,T.M.BARAT PLANT B
227,1010,HOIST 08 NITCHI CAP. 1 TON,TM TIMUR PLANT B
228,1010,HOIST 09 NITCHI CAP. 1 TON,T.S.PROG. PLANT B
229,1010,HOIST 10 NITCHI CAP. 1 TON,T.S.PROG.PLANT B
230,1010,HOIST 11 NITCHI CAP. 1 TON,T.S.TANDEM PLANT B
231,1010,HOIST 12 NITCHI CAP. 1 TON,T.S.TANDEM PLANT B
232,1010,HOIST 13 HITACHI CAP. 2 TON,CORRIDOR 1 / PLANT AB
233,1010,HOIST 14 HITACHI CAP. 2 TON,PROG. PLANT B
234,1010,C.TOWER 01 LIANG HO,PLANT A
235,1010,C.TOWER 02 LIANG CHI,PLANT A
236,1010,C.TOWER 03 LIANG HO,PLANT C
237,1010,BELT SANDER 01NNTC,MACHINING PLANT B
238,1010,BELT SANDER 02 NNTC,MACHINING PLANT B
239,1010,MILLING 01 YAMAMOTO PWR,MACHINING PLANT B
240,1010,MILLING 02 YAMAMOTO,MACHINING PLANT B
241,1010,MILLING 03 UNIVERSAL,MACHINING PLANT B
242,1010,PRESS CHINA 16 TON,MACHINING PLANT B
243,1010,CNC LATHE 01 LEADWELL,MACHING PLANT B
