45,1000,1710,51,3,7,NULL,2017-11-01 00:00:00,100340,22774,NULL,NULL,11244,400,4344,400,48843936,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,1000,1710,51,3,6,NULL,2017-11-02 00:00:00,22761,22762,NULL,NULL,10816,1400,1400,1400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,1000,1710,51,3,6,NULL,2017-11-02 00:00:00,100340,22762,NULL,NULL,10816,200,2172,200,23492352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,1000,1710,48,1,3,NULL,2017-11-01 00:00:00,21760,21759,NULL,NULL,10438,1204,1204,1204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,1000,1710,48,1,3,NULL,2017-11-01 00:00:00,100340,21759,NULL,NULL,10438,1200,13032,1200,136028016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,1000,1710,48,1,4,NULL,2017-11-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,1000,1710,48,1,4,NULL,2017-11-08 00:00:00,100340,NULL,NULL,NULL,0,200,2172,200,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,1000,1710,74,1,1,NULL,2017-10-30 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,1000,1710,74,1,1,NULL,2017-10-30 00:00:00,100340,NULL,NULL,NULL,0,100,1086,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,1000,1710,77,1,1,NULL,2017-10-30 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,1000,1710,77,1,1,NULL,2017-10-30 00:00:00,100340,NULL,NULL,NULL,0,100,1086,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,1000,1710,73,1,1,NULL,2017-10-30 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,1000,1710,73,1,1,NULL,2017-10-30 00:00:00,100340,NULL,NULL,NULL,0,100,1086,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,1000,1710,78,1,1,NULL,2017-10-30 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,1000,1710,78,1,1,NULL,2017-10-30 00:00:00,100340,NULL,NULL,NULL,0,100,1086,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,1000,1710,78,1,2,NULL,2017-10-30 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,1000,1710,78,1,2,NULL,2017-10-31 00:00:00,100340,NULL,NULL,NULL,0,200,2172,200,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,1000,1710,78,1,3,NULL,2017-10-30 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,1000,1710,78,1,3,NULL,2017-11-01 00:00:00,100340,NULL,NULL,NULL,0,100,1086,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,1100,1710,28,1,1,NULL,2017-10-04 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,1100,1710,28,1,1,NULL,2017-10-04 00:00:00,100340,NULL,NULL,NULL,0,100,1086,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,1000,1710,80,1,1,NULL,2017-10-31 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,1000,1710,80,1,1,NULL,2017-10-31 00:00:00,100340,NULL,NULL,NULL,0,1000,10860,1000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,1000,1710,80,1,2,NULL,2017-10-31 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,1000,1710,80,1,2,NULL,2017-10-31 00:00:00,100628,NULL,NULL,NULL,0,200,200,200,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,1000,1710,80,1,1,NULL,2017-10-31 00:00:00,100340,NULL,NULL,NULL,0,1000,10860,1000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,1000,1710,80,1,1,NULL,2017-10-30 00:00:00,100340,NULL,NULL,NULL,0,1000,10860.32,1000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,1000,1710,80,1,2,NULL,2017-10-31 00:00:00,100628,NULL,NULL,NULL,0,200,200,200,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,1000,1710,80,1,2,NULL,2017-10-31 00:00:00,100628,NULL,NULL,NULL,0,300,300,300,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,1000,1710,80,1,2,NULL,2017-10-31 00:00:00,100628,NULL,NULL,NULL,0,300,300,300,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123
75,1000,1710,80,1,2,NULL,2017-10-31 00:00:00,100628,NULL,NULL,NULL,0,400,400,400,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123
76,1000,1710,80,1,2,NULL,2017-10-31 00:00:00,100628,NULL,NULL,NULL,0,400,400,400,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000
77,1000,1710,80,1,2,NULL,2017-10-31 00:00:00,100628,NULL,NULL,NULL,0,500,500,500,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000
78,1000,1710,81,1,1,NULL,2017-10-31 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,1000,1710,81,1,1,NULL,2017-10-31 00:00:00,100340,NULL,NULL,NULL,0,100,1086,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,1000,1710,81,1,2,NULL,2017-10-31 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,1000,1710,81,1,2,NULL,2017-11-03 00:00:00,100340,NULL,NULL,NULL,0,200,2172,200,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,1000,1711,3,1,1,NULL,2017-11-02 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,1000,1711,3,1,1,NULL,2017-11-02 00:00:00,100340,NULL,NULL,NULL,0,100,1086,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,1000,1711,3,1,2,NULL,2017-11-02 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,1000,1711,3,1,2,NULL,2017-11-02 00:00:00,100628,NULL,NULL,NULL,0,10,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,1000,1711,4,1,1,NULL,2017-11-03 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,1000,1711,4,1,1,NULL,2017-11-03 00:00:00,100340,NULL,NULL,NULL,56000,100,1086,100,60816000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,1000,1711,4,1,2,NULL,2017-11-03 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,1000,1711,4,1,2,NULL,2017-11-03 00:00:00,100628,NULL,NULL,NULL,200000,100,100,100,20000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
